index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M;f0m_NM;f0sd_NM;f0pNa_NM;f0c_NM;f0m_M;f0sd_M;f0pNa_M;f0c_M;f0cSD_NM;f0cSD_M;HNR_M;HNR_NM;RMSm_NM;RMSsd_NM;RMSm_M;RMSsd_M
0.0;BB1_6M_1403_p100_NM;38.01;38.79;0.9100000000000036;0.7800000000000011;BL;B;B;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_38.01_to_38.79;/BB/BL/BB1_6M_1403_p100_38.01_to_38.79_BL;none;none;583.0582132132132;310.6389595147098;0.14615384615384616;523.2376205651158;581.6768618618619;308.01542841775023;0.14615384615384616;523.2083131506267;328.124361353531;328.0288305269207;15.06959298941601;15.139210246236429;399.75177986445306;;390.2355711243856;
1.0;BB1_6M_1403_p100_NM;39.7;40.79;2.890000000000001;1.0899999999999963;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_39.7_to_40.79;/BB/BL/BB1_6M_1403_p100_39.7_to_40.79_BL;/other/BL/BB1_6M_1403_p100_NM_38.79_to_39.7;/other/BL/BB1_6M_1403_p100_38.79_to_39.7_BL;626.5346153846153;152.65556240850978;0.8211009174311926;523.2376205651158;628.095641025641;154.1422277717815;0.8211009174311926;523.2083131506267;328.124361353531;328.0288305269207;5.081930519197537;5.965944327972773;154.96447526296672;;139.82152733552522;
2.0;BB1_6M_1403_p100_NM;43.68;45.95;4.049999999999997;2.270000000000003;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_43.68_to_45.95;/BB/BL/BB1_6M_1403_p100_43.68_to_45.95_BL;/other/BL/BB1_6M_1403_p100_NM_40.79_to_43.68;/other/BL/BB1_6M_1403_p100_40.79_to_43.68_BL;701.69227154047;321.44141307848344;0.6625550660792952;523.2376205651158;702.3468276762403;322.8895230321204;0.6625550660792952;523.2083131506267;328.124361353531;328.0288305269207;11.191018502305273;11.929249110276034;209.4024104055951;;190.49847864388514;
3.0;BB1_6M_1403_p100_NM;50.0;50.7;1.1400000000000006;0.7000000000000028;BL;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_50.0_to_50.7;/BB/BL/BB1_6M_1403_p100_50.0_to_50.7_BL;/other/BL/BB1_6M_1403_p100_NM_45.95_to_50.0;/other/BL/BB1_6M_1403_p100_45.95_to_50.0_BL;870.8536633663366;227.40681760119293;0.5665236051502146;523.2376205651158;869.763894389439;226.7714713229499;0.5665236051502146;523.2083131506267;328.124361353531;328.0288305269207;8.744006796836063;9.632715028222837;50.14759290856858;;40.72652294181938;
4.0;BB1_6M_1403_p100_NM;51.84;51.96;1.6000000000000014;0.1199999999999974;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_51.84_to_51.96;/BB/BL/BB1_6M_1403_p100_51.84_to_51.96_BL;/other/BL/BB1_6M_1403_p100_NM_50.7_to_51.84;/other/BL/BB1_6M_1403_p100_50.7_to_51.84_BL;327.87673913043477;12.713440841067484;0.6166666666666667;523.2376205651158;326.29434782608695;11.835344364735805;0.6166666666666667;523.2083131506267;328.124361353531;328.0288305269207;4.971112270134071;6.440181884471018;161.88062575697793;;132.8627839591232;
5.0;BB1_6M_1403_p100_NM;53.56;54.9;0.509999999999998;1.3399999999999963;BL;B;Gr;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_53.56_to_54.9;/BB/BL/BB1_6M_1403_p100_53.56_to_54.9_BL;/other/BL/BB1_6M_1403_p100_NM_51.96_to_53.56;/other/BL/BB1_6M_1403_p100_51.96_to_53.56_BL;948.0126977950714;302.0887196473368;0.4246268656716418;523.2376205651158;947.047924773022;301.6123163049824;0.4246268656716418;523.2083131506267;328.124361353531;328.0288305269207;10.652900130958873;11.356294442768304;228.49505164396402;;213.31881946787863;
6.0;BB1_6M_1403_p100_NM;55.41;56.0;2.75;0.5900000000000034;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_55.41_to_56.0;/BB/BL/BB1_6M_1403_p100_55.41_to_56.0_BL;/other/BL/BB1_6M_1403_p100_NM_54.9_to_55.41;/other/BL/BB1_6M_1403_p100_54.9_to_55.41_BL;1151.6556249999999;111.48911743274996;0.864406779661017;523.2376205651158;1183.888125;129.38079775641174;0.864406779661017;523.2083131506267;328.124361353531;328.0288305269207;3.5508518253912413;3.428252774983408;87.68967100585199;;63.354650674063244;
7.0;BB1_6M_1403_p100_NM;58.75;59.05;1.3300000000000054;0.2999999999999971;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_58.75_to_59.05;/BB/BL/BB1_6M_1403_p100_58.75_to_59.05_BL;/other/BL/BB1_6M_1403_p100_NM_56.0_to_58.75;/other/BL/BB1_6M_1403_p100_56.0_to_58.75_BL;634.850310880829;194.76840166835208;0.3566666666666667;523.2376205651158;631.7244559585492;192.85726928612084;0.3566666666666667;523.2083131506267;328.124361353531;328.0288305269207;14.248055547680622;14.52157518788258;366.3657240991835;;315.45667876747126;
8.0;BB1_6M_1403_p100_NM;60.38;60.64;1.519999999999996;0.259999999999998;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_60.38_to_60.64;/BB/BL/BB1_6M_1403_p100_60.38_to_60.64_BL;/other/BL/BB1_6M_1403_p100_NM_59.05_to_60.38;/other/BL/BB1_6M_1403_p100_59.05_to_60.38_BL;611.0888524590164;216.6890928888543;0.7653846153846153;523.2376205651158;618.1252459016393;210.4742939221364;0.7653846153846153;523.2083131506267;328.124361353531;328.0288305269207;7.37812353413231;7.015369350321438;201.52588101799859;;212.44921491177152;
9.0;BB1_6M_1403_p100_NM;62.16;62.66;1.6599999999999966;0.5;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_62.16_to_62.66;/BB/BL/BB1_6M_1403_p100_62.16_to_62.66_BL;/other/BL/BB1_6M_1403_p100_NM_60.64_to_62.16;/other/BL/BB1_6M_1403_p100_60.64_to_62.16_BL;293.49704545454546;58.17725454304165;0.736;523.2376205651158;292.09219696969694;58.61042410886008;0.736;523.2083131506267;328.124361353531;328.0288305269207;4.160976246177342;3.5745854622840985;186.93114402176974;;180.16930763428005;
