;index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M
0;0;BB1_6M_1403_p100_NM;38.01;38.79;0.9100000000000037;0.7800000000000011;BL;B;B;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_38.01_to_38.79;/BB/BL/BB1_6M_1403_p100_38.01_to_38.79_BL;none;none
1;1;BB1_6M_1403_p100_NM;39.7;40.79;2.8900000000000006;1.0899999999999963;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_39.7_to_40.79;/BB/BL/BB1_6M_1403_p100_39.7_to_40.79_BL;/other/BL/BB1_6M_1403_p100_NM_38.79_to_39.7;/other/BL/BB1_6M_1403_p100_38.79_to_39.7_BL
2;2;BB1_6M_1403_p100_NM;43.68;45.95;4.049999999999997;2.270000000000003;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_43.68_to_45.95;/BB/BL/BB1_6M_1403_p100_43.68_to_45.95_BL;/other/BL/BB1_6M_1403_p100_NM_40.79_to_43.68;/other/BL/BB1_6M_1403_p100_40.79_to_43.68_BL
3;3;BB1_6M_1403_p100_NM;50.0;50.7;1.1400000000000006;0.7000000000000028;BL;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_50.0_to_50.7;/BB/BL/BB1_6M_1403_p100_50.0_to_50.7_BL;/other/BL/BB1_6M_1403_p100_NM_45.95_to_50.0;/other/BL/BB1_6M_1403_p100_45.95_to_50.0_BL
4;4;BB1_6M_1403_p100_NM;51.84;51.96;1.6000000000000014;0.11999999999999744;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_51.84_to_51.96;/BB/BL/BB1_6M_1403_p100_51.84_to_51.96_BL;/other/BL/BB1_6M_1403_p100_NM_50.7_to_51.84;/other/BL/BB1_6M_1403_p100_50.7_to_51.84_BL
5;5;BB1_6M_1403_p100_NM;53.56;54.9;0.509999999999998;1.3399999999999963;BL;B;Gr;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_53.56_to_54.9;/BB/BL/BB1_6M_1403_p100_53.56_to_54.9_BL;/other/BL/BB1_6M_1403_p100_NM_51.96_to_53.56;/other/BL/BB1_6M_1403_p100_51.96_to_53.56_BL
6;6;BB1_6M_1403_p100_NM;55.41;56.0;2.75;0.5900000000000034;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_55.41_to_56.0;/BB/BL/BB1_6M_1403_p100_55.41_to_56.0_BL;/other/BL/BB1_6M_1403_p100_NM_54.9_to_55.41;/other/BL/BB1_6M_1403_p100_54.9_to_55.41_BL
7;7;BB1_6M_1403_p100_NM;58.75;59.05;1.3300000000000054;0.29999999999999716;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_58.75_to_59.05;/BB/BL/BB1_6M_1403_p100_58.75_to_59.05_BL;/other/BL/BB1_6M_1403_p100_NM_56.0_to_58.75;/other/BL/BB1_6M_1403_p100_56.0_to_58.75_BL
8;8;BB1_6M_1403_p100_NM;60.38;60.64;1.519999999999996;0.259999999999998;BL;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_60.38_to_60.64;/BB/BL/BB1_6M_1403_p100_60.38_to_60.64_BL;/other/BL/BB1_6M_1403_p100_NM_59.05_to_60.38;/other/BL/BB1_6M_1403_p100_59.05_to_60.38_BL
9;9;BB1_6M_1403_p100_NM;62.16;62.66;1.6599999999999966;0.5;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_62.16_to_62.66;/BB/BL/BB1_6M_1403_p100_62.16_to_62.66_BL;/other/BL/BB1_6M_1403_p100_NM_60.64_to_62.16;/other/BL/BB1_6M_1403_p100_60.64_to_62.16_BL
10;10;BB1_6M_1403_p100_NM;64.32;66.38;0.6000000000000085;2.0600000000000023;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_64.32_to_66.38;/BB/BL/BB1_6M_1403_p100_64.32_to_66.38_BL;/other/BL/BB1_6M_1403_p100_NM_62.66_to_64.32;/other/BL/BB1_6M_1403_p100_62.66_to_64.32_BL
11;11;BB1_6M_1403_p100_NM;66.98;67.62;3.4299999999999926;0.6400000000000006;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_66.98_to_67.62;/BB/BL/BB1_6M_1403_p100_66.98_to_67.62_BL;/other/BL/BB1_6M_1403_p100_NM_66.38_to_66.98;/other/BL/BB1_6M_1403_p100_66.38_to_66.98_BL
13;13;BB1_6M_1403_p100_NM;71.05;76.17;0.8199999999999932;2.1099999999999994;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;1.0;p100;/BB/BL/BB1_6M_1403_p100_NM_71.05_to_76.17;/BB/BL/BB1_6M_1403_p100_71.05_to_76.17_BL;/other/BL/BB1_6M_1403_p100_NM_67.62_to_71.05;/other/BL/BB1_6M_1403_p100_67.62_to_71.05_BL
14;14;BB1_6M_1403_p100_NM;76.99;78.2;1.3100000000000023;1.210000000000008;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_76.99_to_78.2;/BB/BL/BB1_6M_1403_p100_76.99_to_78.2_BL;/other/BL/BB1_6M_1403_p100_NM_76.17_to_76.99;/other/BL/BB1_6M_1403_p100_76.17_to_76.99_BL
15;15;BB1_6M_1403_p100_NM;79.51;80.48;0.9500000000000028;0.9699999999999989;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_79.51_to_80.48;/BB/EXP/BB1_6M_1403_p100_79.51_to_80.48_EXP;/other/EXP/BB1_6M_1403_p100_NM_78.2_to_79.51;/other/EXP/BB1_6M_1403_p100_78.2_to_79.51_EXP
16;16;BB1_6M_1403_p100_NM;81.43;82.96000000000001;16.560000000000002;1.5300000000000011;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_81.43_to_82.96;/BB/EXP/BB1_6M_1403_p100_81.43_to_82.96_EXP;/other/EXP/BB1_6M_1403_p100_NM_80.48_to_81.43;/other/EXP/BB1_6M_1403_p100_80.48_to_81.43_EXP
17;17;BB1_6M_1403_p100_NM;99.52000000000001;100.31;2.3499999999999943;0.789999999999992;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_99.52_to_100.31;/BB/EXP/BB1_6M_1403_p100_99.52_to_100.31_EXP;/other/EXP/BB1_6M_1403_p100_NM_82.96_to_99.52;/other/EXP/BB1_6M_1403_p100_82.96_to_99.52_EXP
