;BB;cond;age;phase;M_minus_NM;zf0c_Original
0;1;p100;6.1;EXP;31.83816960373872;0.08507725062038396
1;12;m100;6.3;EXP;-44.04943870817476;0.38843520862177466
2;15;p100;6.466666666666667;EXP;40.72979408461259;-0.48999024888132087
3;18;m100;7.166666666666667;EXP;-81.62903429734047;0.36805104860111254
4;21;m100;6.466666666666667;EXP;-37.37558408041292;-0.30578768046220933
5;23;m100;6.433333333333334;EXP;-50.01053244374668;0.5375314373066509
6;24;p100;3.6333333333333333;EXP;51.09415407407414;0.12608678184162345
7;27;m100;3.5666666666666664;EXP;-43.814141501294216;-0.05249432860783277
8;31;m100;3.8;EXP;-35.76168384879725;-0.2580205699924266
9;36;p100;3.7333333333333334;EXP;49.188814538043516;-0.47214923518317864
10;38;p100;6.4;EXP;41.485657263481016;-0.24055847724773688
11;45;p100;6.4;EXP;47.15189835719099;-0.42679073431394776
12;47;m100;6.3;EXP;-21.786401823510232;0.15314346251354766
13;52;m100;6.3;EXP;-18.625222510007177;-0.14973811406115922
14;56;p100;6.333333333333333;EXP;24.913606269423042;-0.007881471094083369
15;58;p100;6.5;EXP;23.07382441459299;-0.1571279881965305
16;61;m100;3.6;EXP;-19.518361979466988;0.9854239186942784
17;66;p100;3.7333333333333334;EXP;24.887460134486048;-0.05874145742279126
18;68;m100;6.1;EXP;-31.082325662482617;0.42470121134311284
19;69;m100;6.133333333333334;EXP;-23.84436491677343;0.10935114024416372
20;70;p100;6.333333333333333;EXP;25.16014109926158;-0.5115511176996409
21;71;p100;3.8333333333333335;EXP;23.242922421276944;-0.2503715057799215
22;72;m100;6.5;EXP;-18.070149347389588;-0.06701302885169749
23;74;p100;6.333333333333333;EXP;27.828650870893057;-0.09783055874096855
24;77;m100;6.0;EXP;-30.146694063128507;0.07052328131788942
25;78;p100;6.3;EXP;24.944797676669907;0.05531725827950379
26;81;p100;6.2;EXP;22.63882052958479;0.050343629915683565
27;88;p100;6.0;EXP;17.583021047227874;-0.2286778839710169
28;90;m100;5.933333333333334;EXP;-15.98594603328496;0.15939522714200285
29;91;m100;6.0;EXP;-17.60990908118515;-0.05540029190704451
30;92;m100;5.766666666666667;EXP;-19.910583617241798;-0.28234479356202535
31;94;m100;3.466666666666667;EXP;-15.80559842412714;0.26759711368438227
32;96;m100;3.8666666666666667;EXP;-15.427295185278638;-0.15001880542493884
33;99;p100;3.6;EXP;17.032012861736234;-0.010783612429791414
34;100;m100;3.6333333333333333;EXP;-23.043608025797198;0.5471789474062926
35;103;p100;3.666666667;EXP;22.252568457538928;0.07787889332890122
36;104;p100;4.0;EXP;29.48742500842593;-0.06956795232228061
37;110;m100;3.7333333333333334;EXP;-21.909778603160703;0.2267626707453298
38;118;m100;4.033333333333333;EXP;-15.551002718212033;-0.19033008228767329
39;119;p100;3.9;EXP;20.236866913123777;-0.185662280060546
40;120;m100;3.5666666666666664;EXP;-18.10211089761185;0.44064651341124234
41;125;p100;4.333333333333333;EXP;17.11750582448866;-0.5939721839525467
42;127;m100;4.2;EXP;-22.949859908303665;-0.2645671440344364
43;129;p100;3.7333333333333334;EXP;17.554879914984042;-0.20364216728798953
44;130;p100;3.7666666666666666;EXP;14.738507837740826;-0.13134530137471423
45;133;m100;4.2;EXP;-25.7701365116763;0.22554301648668656
46;134;m100;3.6333333333333333;EXP;-21.46857784826841;1.3835981161157325
47;148;p100;3.6;EXP;10.691885069817317;-0.22869248831848402
