;BB;voc_nb_all;cond;age;zf0_Original;M_minus_NM;Type_protophone;zf0_Original_inv;difference_inv;f0m_NM;is_margbabbling
0;1;15.0;p100;6.1;-0.34091750964407364;15.6935013720514;S;0.34091750964407364;-15.6935013720514;364.2458017995909;0
1;1;16.0;p100;6.1;0.10740536214876532;16.86431062420354;S;-0.10740536214876532;-16.86431062420354;416.19358140122404;0
2;1;17.0;p100;6.1;-0.9004111797802979;14.138535753870087;pB;0.9004111797802979;-14.138535753870087;299.4165109170692;1
3;1;18.0;p100;6.1;0.16197139105204256;17.25094793181671;S;-0.16197139105204256;-17.25094793181671;422.5162212252159;0
4;1;19.0;p100;6.1;0.2771066132734208;16.245597435480818;pB;-0.2771066132734208;-16.245597435480818;435.8570956812149;1
5;1;20.0;p100;6.1;1.5137589774765141;20.278398099210335;pB;-1.5137589774765141;-20.278398099210335;579.149683459662;1
6;1;21.0;p100;6.1;-1.6020798068158453;10.499233062555277;V;1.6020798068158453;-10.499233062555277;218.1132148241007;1
7;1;22.0;p100;6.1;1.9621308927229206;21.481123311204215;S;-1.9621308927229206;-21.481123311204215;631.10314579282;0
8;1;23.0;p100;6.1;0.2400777262972904;16.921003577856595;V;-0.2400777262972904;-16.921003577856595;431.56650829307324;1
9;1;24.0;p100;6.1;-0.4189295862052219;15.912457640690775;S;0.4189295862052219;-15.912457640690775;355.2064366133845;0
10;1;25.0;p100;6.1;0.745022454768083;18.573223957974108;pB;-0.745022454768083;-18.573223957974108;490.0751392730424;1
11;1;26.0;p100;6.1;-0.34258105230440433;16.19714958481211;V;0.34258105230440433;-16.19714958481211;364.0530448538406;1
12;1;27.0;p100;6.1;0.3158171111791519;14.816125473167176;pB;-0.3158171111791519;-14.816125473167176;440.3425336099887;1
13;1;28.0;p100;6.1;1.0665623036567142;19.974735211223447;pB;-1.0665623036567142;-19.974735211223447;527.3323979455986;1
14;1;29.0;p100;6.1;-0.4921920495632269;14.981900856012032;V;0.4921920495632269;-14.981900856012032;346.7174155550233;1
15;12;9.0;m100;6.3;-1.499579584341137;-21.23138661715771;V;-1.499579584341137;-21.23138661715771;245.85722995968027;1
16;12;10.0;m100;6.3;-0.6045591260615392;-22.51800027952882;R;-0.6045591260615392;-22.51800027952882;259.74275606038583;0
17;12;11.0;m100;6.3;11.771459990494979;-35.078551088138454;S;11.771459990494979;-35.078551088138454;451.7467877850915;0
18;12;12.0;m100;6.3;0.9641859099734551;-25.666523769863034;V;0.9641859099734551;-25.666523769863034;284.0805797846469;1
19;12;13.0;m100;6.3;1.8171390682177726;-21.134541772188186;B;1.8171390682177726;-21.134541772188186;297.3134653929229;1
20;12;14.0;m100;6.3;0.04120551053921452;-23.56813171405119;V;0.04120551053921452;-23.56813171405119;269.76127757403736;1
21;12;15.0;m100;6.3;4.364594029091535;-18.954365744296297;V;4.364594029091535;-18.954365744296297;336.83519031257197;1
22;12;16.0;m100;6.3;1.2846842022866587;-22.42692968850872;V;1.2846842022866587;-22.42692968850872;289.05285428628326;1
23;12;17.0;m100;6.3;-0.028187603854070393;-23.338542451245644;V;-0.028187603854070393;-23.338542451245644;268.6846989414446;1
24;12;18.0;m100;6.3;3.432573806852004;-20.427715783863277;Gr;3.432573806852004;-20.427715783863277;322.3756424859573;0
25;12;19.0;m100;6.3;2.0970548725788145;-25.70176278182197;pB;2.0970548725788145;-25.70176278182197;301.6561350732634;1
26;15;7.0;p100;6.466666666666667;-0.42502025681806954;-0.32421987061434265;Gr;0.42502025681806954;0.32421987061434265;307.5659876832787;0
27;15;8.0;p100;6.466666666666667;-0.8638684635273279;25.951721023137907;pB;0.8638684635273279;-25.951721023137907;277.90273556012914;1
28;15;9.0;p100;6.466666666666667;-1.0035157006264142;25.11105292326937;pB;1.0035157006264142;-25.11105292326937;268.46350090212854;1
29;18;23.0;m100;7.166666666666667;1.592730391008626;-41.1966999137469;S;1.592730391008626;-41.1966999137469;586.7062460831886;0
30;18;24.0;m100;7.166666666666667;0.6374140334777895;-35.15477594920111;L;0.6374140334777895;-35.15477594920111;496.6264165879829;0
31;18;25.0;m100;7.166666666666667;0.4824401811469665;-36.53928249826225;L;0.4824401811469665;-36.53928249826225;482.0134372496435;0
32;18;26.0;m100;7.166666666666667;0.1807478628157364;-35.38696205071324;S;0.1807478628157364;-35.38696205071324;453.5659053079398;0
33;18;27.0;m100;7.166666666666667;1.2254771433451586;-38.04700503468678;L;1.2254771433451586;-38.04700503468678;552.0767647911572;0
34;18;28.0;m100;7.166666666666667;0.2715669505467018;-30.59297092390375;L;0.2715669505467018;-30.59297092390375;462.12952705818435;0
35;18;29.0;m100;7.166666666666667;0.37379791793879436;-35.566645701736206;V;0.37379791793879436;-35.566645701736206;471.76921137764015;1
36;18;30.0;m100;7.166666666666667;-2.2302360284234157;-22.42948173622858;L;-2.2302360284234157;-22.42948173622858;226.22653638951303;0
37;18;31.0;m100;7.166666666666667;0.7024811893095179;-38.486513074191464;L;0.7024811893095179;-38.486513074191464;502.7618064584226;0
38;18;32.0;m100;7.166666666666667;2.332521119930119;-43.392605269707246;S;2.332521119930119;-43.392605269707246;656.4634759244362;0
39;18;33.0;m100;7.166666666666667;1.740283237863021;-41.53639891655246;S;1.740283237863021;-41.53639891655246;600.6194751212951;0
40;18;34.0;m100;7.166666666666667;1.0514543763202464;-37.15271410113138;L;1.0514543763202464;-37.15271410113138;535.6676024667468;0
41;18;35.0;m100;7.166666666666667;1.2200615541030537;-37.09835680716276;L;1.2200615541030537;-37.09835680716276;551.5661115905716;0
42;18;36.0;m100;7.166666666666667;1.9516598742679332;-41.69468955353955;S;1.9516598742679332;-41.69468955353955;620.5508530533535;0
43;18;37.0;m100;7.166666666666667;1.4170247657781874;-40.60085573373078;S;1.4170247657781874;-40.60085573373078;570.1384016855326;0
44;18;38.0;m100;7.166666666666667;1.6816454043442877;-42.49673774729149;S;1.6816454043442877;-42.49673774729149;595.0903265793522;0
45;18;39.0;m100;7.166666666666667;2.315858130276373;-46.56992738692804;L;2.315858130276373;-46.56992738692804;654.8922694282245;0
46;18;40.0;m100;7.166666666666667;1.918726001384776;-39.118563764318765;S;1.918726001384776;-39.118563764318765;617.4454130276018;0
47;18;41.0;m100;7.166666666666667;-0.5355540814820625;-31.628223950354993;V;-0.5355540814820625;-31.628223950354993;386.0235079640868;1
48;18;42.0;m100;7.166666666666667;1.4621332699692067;-40.19135300664607;S;1.4621332699692067;-40.19135300664607;574.3918265685872;0
