;BB;cond;age;age_c;phase;M_minus_NM;zf0c_Original;zf0c_Original_inv;zf0c_Original_abs
0;1;p100;6.1;6;EXP;32.2628490485356;0.10129627005267113;-0.10129627005267113;0.10129627005267113
1;12;m100;6.3;6;EXP;-39.52809755592375;0.20983670446911218;0.20983670446911218;0.20983670446911218
2;15;p100;6.466666666666667;6;EXP;40.72979408461259;-0.4464112486687958;0.4464112486687958;0.4464112486687958
3;18;m100;7.166666666666667;6;EXP;-81.62903429734035;0.40876506585776856;0.40876506585776856;0.40876506585776856
4;21;m100;6.466666666666667;6;EXP;-37.37558408041292;-0.30578768046220933;-0.30578768046220933;0.30578768046220933
5;23;m100;6.433333333333334;6;EXP;-50.01053244374668;0.5375314373066513;0.5375314373066513;0.5375314373066513
6;24;p100;3.6333333333333333;4;EXP;50.71142640364195;0.1217630303749352;-0.1217630303749352;0.1217630303749352
7;27;m100;3.5666666666666664;4;EXP;-43.814141501294216;-0.05249432860783277;-0.05249432860783277;0.05249432860783277
8;31;m100;3.8;4;EXP;-35.76168384879725;-0.2580205699924266;-0.2580205699924266;0.2580205699924266
9;36;p100;3.7333333333333334;4;EXP;48.967677954388364;-0.5357314601666395;0.5357314601666395;0.5357314601666395
10;38;p100;6.4;6;EXP;41.485657263481016;-0.40522104283485816;0.40522104283485816;0.40522104283485816
11;45;p100;6.4;6;EXP;47.15189835719099;-0.42679073431394776;0.42679073431394776;0.42679073431394776
12;47;m100;6.3;6;EXP;-21.786401823510232;0.2581594037888571;0.2581594037888571;0.2581594037888571
13;52;m100;6.3;6;EXP;-18.40178413749601;-0.12997512347751786;-0.12997512347751786;0.12997512347751786
14;56;p100;6.333333333333333;6;EXP;24.814028615989628;0.04282539065683858;-0.04282539065683858;0.04282539065683858
15;58;p100;6.5;6;EXP;23.07382441459299;-0.020587920236135926;0.020587920236135926;0.020587920236135926
16;61;m100;3.6;4;EXP;-19.582967445742952;0.7546460970795256;0.7546460970795256;0.7546460970795256
17;66;p100;3.7333333333333334;4;EXP;24.887460134486048;-0.031056229317641442;0.031056229317641442;0.031056229317641442
18;68;m100;6.1;6;EXP;-34.425683288922755;0.3112679576684272;0.3112679576684272;0.3112679576684272
19;69;m100;6.133333333333334;6;EXP;-20.54746049503558;0.21610477522271937;0.21610477522271937;0.21610477522271937
20;70;p100;6.333333333333333;6;EXP;25.16014109926158;-0.01791132925259663;0.01791132925259663;0.01791132925259663
21;71;p100;3.8333333333333335;4;EXP;23.242922421276887;-0.2503715057799213;0.2503715057799213;0.2503715057799213
22;72;m100;6.5;6;EXP;-18.070149347389588;-0.042533162543520735;-0.042533162543520735;0.042533162543520735
23;74;p100;6.333333333333333;6;EXP;27.94651112682226;-0.09998591546783896;0.09998591546783896;0.09998591546783896
24;77;m100;6.0;6;EXP;-30.146694063128507;0.07311700807342193;0.07311700807342193;0.07311700807342193
25;78;p100;6.3;6;EXP;24.944797676669907;0.05531725827950379;-0.05531725827950379;0.05531725827950379
26;81;p100;6.2;6;EXP;22.516793644185555;-0.007523923161655715;0.007523923161655715;0.007523923161655715
27;88;p100;6.0;6;EXP;17.583021047227874;-0.08209698912061167;0.08209698912061167;0.08209698912061167
28;90;m100;5.933333333333334;6;EXP;-15.404786087524542;0.2684188831122841;0.2684188831122841;0.2684188831122841
29;91;m100;6.0;6;EXP;-17.352187939807322;0.08161556399846853;0.08161556399846853;0.08161556399846853
30;92;m100;5.766666666666667;6;EXP;-19.910583617241855;-0.2823447935620251;-0.2823447935620251;0.2823447935620251
31;94;m100;3.466666666666667;4;EXP;-16.308895397489437;0.2636891222496972;0.2636891222496972;0.2636891222496972
32;96;m100;3.8666666666666667;4;EXP;-15.427295185278638;-0.1500188054249388;-0.1500188054249388;0.1500188054249388
33;99;p100;3.6;4;EXP;16.136921283844288;0.003789216395985157;-0.003789216395985157;0.003789216395985157
34;100;m100;3.6333333333333333;4;EXP;-19.22888727423708;0.402249211166555;0.402249211166555;0.402249211166555
35;101;neutre;6.3;6;EXP;-0.4077100000000087;0.13019100559130092;;0.13019100559130092
36;103;p100;3.666666667;4;EXP;22.25256845753887;0.07787889332890152;-0.07787889332890152;0.07787889332890152
37;104;p100;4.0;4;EXP;29.48742500842593;-0.06956795232228061;0.06956795232228061;0.06956795232228061
38;109;neutre;6.066666667;6;EXP;0.05422520661159069;0.9238083128245312;;0.9238083128245312
39;110;m100;3.7333333333333334;4;EXP;-21.909778603160703;0.2267626707453298;0.2267626707453298;0.2267626707453298
40;111;neutre;6.266666666666667;6;EXP;-0.34988649262203353;0.21600682167222685;;0.21600682167222685
41;112;neutre;6.0;6;EXP;0.6220051607352843;-0.3035440335762225;;0.3035440335762225
42;114;neutre;6.266666666666667;6;EXP;-0.8325428112736972;-0.13697422519276645;;0.13697422519276645
43;115;neutre;6.1;6;EXP;-0.5328216599815505;0.19778596111531468;;0.19778596111531468
44;116;neutre;6.4;6;EXP;1.8826980891719245;0.45431213814948324;;0.45431213814948324
45;117;neutre;6.6;6;EXP;0.056525157232727;-0.639667541560766;;0.639667541560766
46;118;m100;4.033333333333333;4;EXP;-15.551002718212033;-0.19033008228767329;-0.19033008228767329;0.19033008228767329
47;119;p100;3.9;4;EXP;20.236866913123777;-0.21697447417382446;0.21697447417382446;0.21697447417382446
48;120;m100;3.5666666666666664;4;EXP;-18.10211089761185;0.44064651341124234;0.44064651341124234;0.44064651341124234
49;121;neutre;6.433333333333334;6;EXP;-0.12289815115150304;0.5595099623537727;;0.5595099623537727
50;122;neutre;6.066666666666666;6;EXP;-0.16332378223495425;-0.7737785444326467;;0.7737785444326467
51;123;neutre;6.333333333333333;6;EXP;0.11793471371220221;0.22813252020145877;;0.22813252020145877
52;125;p100;4.333333333333333;4;EXP;17.11750582448866;-0.4959064157280907;0.4959064157280907;0.4959064157280907
53;127;m100;4.2;4;EXP;-22.949859908303665;-0.23622057487325757;-0.23622057487325757;0.23622057487325757
54;129;p100;3.7333333333333334;4;EXP;18.583884502594117;-0.22645005943902824;0.22645005943902824;0.22645005943902824
55;130;p100;3.7666666666666666;4;EXP;14.738507837740826;-0.05059784254041678;0.05059784254041678;0.05059784254041678
56;131;neutre;6.1;6;EXP;-0.3085165326183983;-0.604293765922032;;0.604293765922032
57;133;m100;4.2;4;EXP;-25.7701365116763;0.22391410969085168;0.22391410969085168;0.22391410969085168
58;134;m100;3.6333333333333333;4;EXP;-21.468577848268467;1.3835981161157325;1.3835981161157325;1.3835981161157325
59;141;neutre;3.9333333333333336;4;EXP;-0.23834001603853494;0.28521076137253204;;0.28521076137253204
60;142;neutre;3.533333333333333;4;EXP;-1.0093157132512829;-0.2585495144133831;;0.2585495144133831
61;143;neutre;3.9;4;EXP;-0.6511937499999476;0.9357529460164996;;0.9357529460164996
62;144;neutre;3.9;4;EXP;-0.392548725637198;0.3138264692518903;;0.3138264692518903
63;148;p100;3.6;4;EXP;10.227173318753387;-0.20553059232889953;0.20553059232889953;0.20553059232889953
64;149;neutre;3.6666666666666665;4;EXP;0.3400716845877696;-0.096712873583514;;0.096712873583514
65;150;neutre;3.8333333333333335;4;EXP;6.558939747781437;0.8020615713426636;;0.8020615713426636
66;155;neutre;3.6666666666666665;4;EXP;-2.4469801136363003;-0.18471253051752995;;0.18471253051752995
67;156;neutre;3.9333333333333336;4;EXP;-0.001496202531598101;-0.10616477360939068;;0.10616477360939068
68;159;neutre;3.466666666666667;4;EXP;-1.213299646286032;1.2717270917309675;;1.2717270917309675
69;160;neutre;3.8333333333333335;4;EXP;0.15300123338357707;-0.3835254059009123;;0.3835254059009123
70;161;neutre;3.966666666666667;4;EXP;0.2807924203272023;-0.2252409714885147;;0.2252409714885147
71;163;neutre;3.5666666666666664;4;EXP;0.10649909045810091;0.8720739374435413;;0.8720739374435413
