;BB;cond;age;phase;M_minus_NM
0;1;p100;6.1;BL;-0.02930741448903973
1;1;p100;6.1;EXP;32.2628490485356
2;12;m100;6.3;BL;-1.9595147339098844
3;12;m100;6.3;EXP;-39.52809755592375
4;15;p100;6.466666666666667;BL;-26.129208185053358
5;15;p100;6.466666666666667;EXP;40.72979408461259
6;18;m100;7.166666666666667;BL;-6.131851071303231
7;18;m100;7.166666666666667;EXP;-81.62903429734035
8;21;m100;6.466666666666667;BL;-0.9480501544612139
9;21;m100;6.466666666666667;EXP;-37.37558408041292
10;23;m100;6.433333333333334;BL;0.15943414634148212
11;23;m100;6.433333333333334;EXP;-50.01053244374668
12;24;p100;3.6333333333333333;BL;-1.922102290555415
13;24;p100;3.6333333333333333;EXP;50.71142640364195
14;27;m100;3.5666666666666664;BL;-0.25713009292365996
15;27;m100;3.5666666666666664;EXP;-43.814141501294216
16;31;m100;3.8;BL;0.3892389479575513
17;31;m100;3.8;EXP;-35.76168384879725
18;36;p100;3.7333333333333334;BL;-0.6167948471447744
19;36;p100;3.7333333333333334;EXP;48.967677954388364
20;38;p100;6.4;BL;7.208663633778826
21;38;p100;6.4;EXP;41.485657263481016
22;45;p100;6.4;BL;0.34947128762956936
23;45;p100;6.4;EXP;47.15189835719099
24;47;m100;6.3;BL;0.2869379054679939
25;47;m100;6.3;EXP;-21.786401823510232
26;52;m100;6.3;BL;-0.9759918809200485
27;52;m100;6.3;EXP;-18.40178413749601
28;56;p100;6.333333333333333;BL;0.2818904761905401
29;56;p100;6.333333333333333;EXP;24.814028615989628
30;58;p100;6.5;BL;0.5428399612026737
31;58;p100;6.5;EXP;23.07382441459299
32;61;m100;3.6;BL;1.6794072524407397
33;61;m100;3.6;EXP;-19.582967445742952
34;66;p100;3.7333333333333334;BL;-0.9551412862804796
35;66;p100;3.7333333333333334;EXP;24.887460134486048
36;68;m100;6.1;BL;-0.267942823109081
37;68;m100;6.1;EXP;-34.425683288922755
38;69;m100;6.133333333333334;BL;-0.5325965858042991
39;69;m100;6.133333333333334;EXP;-20.54746049503558
40;70;p100;6.333333333333333;BL;-4.567165649929564
41;70;p100;6.333333333333333;EXP;25.16014109926158
42;71;p100;3.8333333333333335;BL;0.009944538220395316
43;71;p100;3.8333333333333335;EXP;23.242922421276887
44;72;m100;6.5;BL;-1.1472444024818174
45;72;m100;6.5;EXP;-18.070149347389588
46;74;p100;6.333333333333333;BL;-5.885553942372212
47;74;p100;6.333333333333333;EXP;27.94651112682226
48;77;m100;6.0;BL;-0.27110688836103236
49;77;m100;6.0;EXP;-30.146694063128507
50;78;p100;6.3;BL;0.49627876273103766
51;78;p100;6.3;EXP;24.944797676669907
52;81;p100;6.2;BL;0.01497750865053149
53;81;p100;6.2;EXP;22.516793644185555
54;88;p100;6.0;BL;0.20661357921204626
55;88;p100;6.0;EXP;17.583021047227874
56;90;m100;5.933333333333334;BL;-0.04821622751990162
57;90;m100;5.933333333333334;EXP;-15.404786087524542
58;91;m100;6.0;BL;0.17867824339839444
59;91;m100;6.0;EXP;-17.352187939807322
60;92;m100;5.766666666666667;BL;-1.6038601823708518
61;92;m100;5.766666666666667;EXP;-19.910583617241855
62;94;m100;3.466666666666667;BL;-0.06160378278246981
63;94;m100;3.466666666666667;EXP;-16.308895397489437
64;96;m100;3.8666666666666667;BL;-0.20066419420101056
65;96;m100;3.8666666666666667;EXP;-15.427295185278638
66;99;p100;3.6;BL;1.9156714140387407
67;99;p100;3.6;EXP;16.136921283844288
68;100;m100;3.6333333333333333;BL;-1.154612818017597
69;100;m100;3.6333333333333333;EXP;-19.22888727423708
70;101;neutre;6.3;BL;-0.6508243902439403
71;101;neutre;6.3;EXP;-0.4077100000000087
72;103;p100;3.666666667;BL;-1.3489007782101226
73;103;p100;3.666666667;EXP;22.25256845753887
74;104;p100;4.0;BL;-0.09429872495445579
75;104;p100;4.0;EXP;29.48742500842593
76;109;neutre;6.066666667;BL;-0.9441682879377709
77;109;neutre;6.066666667;EXP;0.05422520661159069
78;110;m100;3.7333333333333334;BL;0.038241383509898697
79;110;m100;3.7333333333333334;EXP;-21.909778603160703
80;111;neutre;6.266666666666667;BL;-0.5317132576804511
81;111;neutre;6.266666666666667;EXP;-0.34988649262203353
82;112;neutre;6.0;BL;-0.09753574024716727
83;112;neutre;6.0;EXP;0.6220051607352843
84;114;neutre;6.266666666666667;BL;-1.3678564185763094
85;114;neutre;6.266666666666667;EXP;-0.8325428112736972
86;115;neutre;6.1;BL;-0.17617326601106242
87;115;neutre;6.1;EXP;-0.5328216599815505
88;116;neutre;6.4;BL;0.05853618030840835
89;116;neutre;6.4;EXP;1.8826980891719245
90;117;neutre;6.6;BL;-0.4408643744030769
91;117;neutre;6.6;EXP;0.056525157232727
92;118;m100;4.033333333333333;BL;-0.38681832154929907
93;118;m100;4.033333333333333;EXP;-15.551002718212033
94;119;p100;3.9;BL;0.43822505023445046
95;119;p100;3.9;EXP;20.236866913123777
96;120;m100;3.5666666666666664;BL;-2.032349241583404
97;120;m100;3.5666666666666664;EXP;-18.10211089761185
98;121;neutre;6.433333333333334;BL;-0.43440735365265937
99;121;neutre;6.433333333333334;EXP;-0.12289815115150304
100;122;neutre;6.066666666666666;BL;-2.0361407342657003
101;122;neutre;6.066666666666666;EXP;-0.16332378223495425
102;123;neutre;6.333333333333333;BL;-0.12780201056398255
103;123;neutre;6.333333333333333;EXP;0.11793471371220221
104;125;p100;4.333333333333333;BL;-0.046800670016807544
105;125;p100;4.333333333333333;EXP;17.11750582448866
106;127;m100;4.2;BL;1.255648120300748
107;127;m100;4.2;EXP;-22.949859908303665
108;129;p100;3.7333333333333334;BL;1.0277709137709508
109;129;p100;3.7333333333333334;EXP;18.583884502594117
110;130;p100;3.7666666666666666;BL;0.41428325292901036
111;130;p100;3.7666666666666666;EXP;14.738507837740826
112;131;neutre;6.1;BL;-5.340262390670603
113;131;neutre;6.1;EXP;-0.3085165326183983
114;133;m100;4.2;BL;-0.9279333406424826
115;133;m100;4.2;EXP;-25.7701365116763
116;134;m100;3.6333333333333333;BL;0.19052631578949786
117;134;m100;3.6333333333333333;EXP;-21.468577848268467
118;141;neutre;3.9333333333333336;BL;0.39340990811029997
119;141;neutre;3.9333333333333336;EXP;-0.23834001603853494
120;142;neutre;3.533333333333333;BL;0.6027409432672926
121;142;neutre;3.533333333333333;EXP;-1.0093157132512829
122;143;neutre;3.9;BL;1.8972057020233137
123;143;neutre;3.9;EXP;-0.6511937499999476
124;144;neutre;3.9;BL;-0.5469529652352207
125;144;neutre;3.9;EXP;-0.392548725637198
126;148;p100;3.6;BL;-0.2582606263981688
127;148;p100;3.6;EXP;10.227173318753387
128;149;neutre;3.6666666666666665;BL;-0.05538497874351833
129;149;neutre;3.6666666666666665;EXP;0.3400716845877696
130;150;neutre;3.8333333333333335;BL;-0.7314364174060302
131;150;neutre;3.8333333333333335;EXP;6.558939747781437
132;155;neutre;3.6666666666666665;BL;-3.5974618320610716
133;155;neutre;3.6666666666666665;EXP;-2.4469801136363003
134;156;neutre;3.9333333333333336;BL;-0.05209871891491957
135;156;neutre;3.9333333333333336;EXP;-0.001496202531598101
136;159;neutre;3.466666666666667;BL;0.19363227354529045
137;159;neutre;3.466666666666667;EXP;-1.213299646286032
138;160;neutre;3.8333333333333335;BL;-2.483986581920931
139;160;neutre;3.8333333333333335;EXP;0.15300123338357707
140;161;neutre;3.966666666666667;BL;-0.1902039215684681
141;161;neutre;3.966666666666667;EXP;0.2807924203272023
142;163;neutre;3.5666666666666664;BL;-0.25167193295783363
143;163;neutre;3.5666666666666664;EXP;0.10649909045810091
